Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,humor,omega,rel_alt
2023-01-21 00:01:30,30,TC,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0721,40.7,60.7,9.3,0.52,0
2023-01-21 00:01:31,31,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,12.7,12.7,0.91,0.96,0.99,0.556,18.1,21.0,8.7,0.16,1
2023-01-21 00:01:32,32,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.799,27.5,61.9,8.2,0.28,0
2023-01-21 00:01:33,33,TC,0.0,Fuzzy,Padrão B,1.19,1.24,1.26,0.021,14.5,12.7,12.7,12.7,12.7,0.65,0.84,0.93,0.86,34.6,53.6,3.8,0.66,1
2023-01-21 00:01:34,34,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.41,7.2,15.1,2.2,0.16,0
2023-01-21 00:01:35,35,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0733,2.8,77.1,5.3,0.16,1
2023-01-21 00:01:36,36,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.804,1.9,39.1,2.9,0.16,0
2023-01-21 00:01:37,37,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.98,0.548,22.0,39.2,9.3,0.18,1
2023-01-21 00:01:38,38,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.809,33.0,58.9,3.3,0.76,0
2023-01-21 00:01:39,39,TC,0.0,Fuzzy,Padrão B,1.18,1.24,1.27,0.023,14.5,12.7,12.7,12.7,12.7,0.64,0.83,0.93,0.682,35.1,41.1,4.7,0.63,1
2023-01-21 00:01:40,40,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.41,0.3,14.4,3.7,0.17,0
2023-01-21 00:01:41,41,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.24,4.24,4.24,4.24,0.95,0.98,0.99,0.0905,39.8,97.4,5.4,0.84,1
2023-01-21 00:01:42,42,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.4,25.7,25.5,1.1,0.52,0
2023-01-21 00:01:43,43,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0018,4.86,4.24,4.24,4.24,4.24,0.96,0.98,0.99,0.0769,14.6,65.3,2.5,0.39,1
2023-01-21 00:01:44,44,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.41,4.7,48.0,2.2,0.16,0
2023-01-21 00:01:45,45,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0718,11.3,58.7,2.3,0.21,1
2023-01-21 00:01:46,46,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,14.3,14.3,0.81,0.87,0.91,2.41,33.0,85.3,7.4,0.59,0
2023-01-21 00:01:47,47,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0019,4.86,4.24,4.24,4.24,4.24,0.97,0.98,0.99,0.0747,5.7,27.1,5.7,0.16,1
2023-01-21 00:01:48,48,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,12.7,12.7,0.58,0.79,0.91,0.802,38.1,57.8,4.5,0.64,0
2023-01-21 00:01:49,49,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,0.016,14.5,12.7,12.7,12.7,12.7,0.71,0.86,0.95,0.693,23.6,0.5,2.5,0.5,1
2023-01-21 00:01:50,50,TC,0.0,Fuzzy,Padrão B,1.25,1.27,1.28,0.0068,14.5,12.7,12.7,12.7,12.7,0.89,0.95,0.98,0.538,7.3,34.1,3.9,0.18,1
2023-01-21 00:01:51,51,ToU,1.0,Fuzzy,Padrão B,0.925,1.03,1.11,0.057,14.5,12.2,13.3,14.8,13.8,0.71,0.83,0.9,0.768,38.3,29.5,8.8,0.5,1
2023-01-21 00:01:52,52,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,12.0,13.3,14.6,15.8,0.93,0.94,0.96,2.35,1.6,49.9,7.7,0.16,1
2023-01-21 00:01:53,53,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.59,3.74,4.06,4.04,0.94,0.96,0.99,0.0907,39.1,60.3,8.0,0.51,0
2023-01-21 00:01:54,54,ToU,1.0,No_fuzzy,Padrão C,0.988,1.07,1.11,0.041,4.86,3.59,3.74,4.09,4.04,0.93,0.96,0.98,0.0853,30.3,4.1,1.2,0.69,0
2023-01-21 00:01:55,55,ToU,0.5,Fuzzy,Padrão B,1.05,1.13,1.17,0.035,14.5,12.2,13.2,14.6,13.8,0.48,0.74,0.89,0.705,39.7,76.4,0.9,0.84,1
2023-01-21 00:01:56,56,ToU,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,13.7,15.1,16.7,15.8,0.81,0.87,0.91,2.43,30.5,15.0,4.4,0.58,0
