,F-comfort,tarifa,alfa,f_confort2,f_confort,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_uss,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,omega
2023-02-06 18:02:50,1,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.81144,0.86509,0.91056,2.46,10,60,0.16
2023-02-06 18:02:51,2,TC,0,Fz-comf,Fuzzy,Padrão A,1.25,1.27,1.28,0.006,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.89229,0.94177,0.97289,2.48,10,60,0.16
2023-02-06 18:02:52,3,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.86045,0.95361,0.97997,2.47,10,60,0.16
2023-02-06 18:02:53,4,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.28,1.28,0.0055,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.91363,0.97779,0.9936,2.28,10,60,0.16
2023-02-06 18:02:54,5,ToU,0.25,nfz-comf,No_fuzzy,Padrão A,1.18,1.22,1.24,0.015,16.4,12,13.51,2.59309021113244,15.46,15.76,0.70244,0.84133,0.91656,2.77,10,60,0.16
2023-02-06 18:02:55,6,ToU,0.25,Fz-comf,Fuzzy,Padrão A,1.2,1.23,1.26,0.016,16.4,12.1,13.89,2.66602687140115,16.17,15.76,0.89751,0.93142,0.96511,2.94,10,60,0.16
2023-02-06 18:02:56,7,ToU,0.25,nFz-tag-comf,Taguchi,Padrão A,1.2,1.23,1.26,0.016,16.4,11.7,13.62,2.61420345489443,15.48,15.76,0.8725,0.927,0.95437,2.84,10,60,0.16
2023-02-06 18:02:57,8,ToU,0.25,Fz-tag-comf,Fz_Taguchi,Padrão A,1.21,1.24,1.27,0.015,16.4,11.9,13.39,2.5700575815739,15.66,15.76,0.91266,0.95484,0.98808,2.72,10,60,0.16
2023-02-06 18:02:58,9,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.81144,0.86509,0.91056,2.94,30,65,0.56
2023-02-06 18:02:59,10,TC,0,Fz-comf,Fuzzy,Padrão A,1.24,1.26,1.27,0.0079,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.82951,0.89704,0.95193,2.47,30,65,0.56
2023-02-06 18:03:00,11,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.86045,0.95361,0.97997,2.56,30,65,0.56
2023-02-06 18:03:01,12,TC,0,Fz-tag-comf,Fz_Taguchi,Padrão A,1.26,1.27,1.28,0.0066,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.89729,0.96083,0.9894,2.19,30,65,0.56
2023-02-06 18:03:02,13,ToU,0.25,nfz-comf,No_fuzzy,Padrão A,1.18,1.22,1.24,0.015,16.4,12,13.51,2.59309021113244,15.46,15.76,0.70244,0.84133,0.91656,2.67,30,65,0.56
2023-02-06 18:03:03,14,ToU,0.25,Fz-comf,Fuzzy,Padrão A,1.2,1.22,1.25,0.015,16.4,12,13.64,2.61804222648752,15.56,15.76,0.80067,0.88073,0.93156,2.62,30,65,0.56
2023-02-06 18:03:04,15,ToU,0.25,nFz-tag-comf,Taguchi,Padrão A,1.2,1.23,1.26,0.016,16.4,11.7,13.62,2.61420345489443,15.48,15.76,0.8725,0.927,0.95437,2.85,30,65,0.56
2023-02-06 18:03:05,16,ToU,0.25,Fz-tag-comf,Fz_Taguchi,Padrão A,1.2,1.23,1.26,0.017,16.4,12.3,14.07,2.70057581573896,15.95,15.76,0.89254,0.9528,0.98994,2.39,30,65,0.56
2023-02-06 18:03:06,17,TC,0,nfz-comf,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.81144,0.86509,0.91056,2.39,39,70,0.84
2023-02-06 18:03:07,18,TC,0,Fz-comf,Fuzzy,Padrão A,1.22,1.25,1.26,0.0099,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.77593,0.87616,0.91776,2.14,39,70,0.84
2023-02-06 18:03:08,19,TC,0,nFz-tag-comf,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,2.74664107485605,14.31,14.31,0.86045,0.95361,0.97997,2.26,39,70,0.84
