,F-comfort,tarifa,alfa,f_confort,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,omega
2023-03-15 14:03:37,1,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,2.67,10,60,0.16
2023-03-15 14:03:38,2,TC,0.0,Fuzzy,Padrão A,1.25,1.27,1.28,0.006,16.4,14.3,14.31,14.31,14.31,0.89229,0.94177,0.97289,2.44,10,60,0.16
2023-03-15 14:03:39,3,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,2.56,10,60,0.16
2023-03-15 14:03:40,4,TC,0.0,Fz_Taguchi,Padrão A,1.26,1.28,1.28,0.0055,16.4,14.3,14.31,14.31,14.31,0.91363,0.97779,0.9936,2.37,10,60,0.16
2023-03-15 14:03:41,5,ToU,0.75,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,15.76,0.73956,0.81803,0.88667,3.06,10,60,0.16
2023-03-15 14:03:42,6,ToU,0.75,Fuzzy,Padrão A,1.05,1.16,1.26,0.049,16.4,11.7,13.69,16.21,15.76,0.892,0.92705,0.96584,2.66,10,60,0.16
2023-03-15 14:03:43,7,ToU,0.75,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12.0,13.4,16.14,15.76,0.86198,0.9239,0.97083,3.01,10,60,0.16
2023-03-15 14:03:44,8,ToU,0.75,Fz_Taguchi,Padrão A,1.07,1.18,1.25,0.047,16.4,11.9,13.44,15.69,15.76,0.91346,0.95407,0.99048,2.91,10,60,0.16
2023-03-15 14:03:45,9,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,2.51,30,65,0.56
2023-03-15 14:03:46,10,TC,0.0,Fuzzy,Padrão A,1.24,1.26,1.27,0.0079,16.4,14.3,14.31,14.31,14.31,0.82951,0.89704,0.95193,1.96,30,65,0.56
2023-03-15 14:03:47,11,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,2.26,30,65,0.56
2023-03-15 14:03:48,12,TC,0.0,Fz_Taguchi,Padrão A,1.26,1.27,1.28,0.0066,16.4,14.3,14.31,14.31,14.31,0.89729,0.96083,0.9894,2.05,30,65,0.56
2023-03-15 14:03:49,13,ToU,0.75,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,15.76,0.73956,0.81803,0.88667,2.73,30,65,0.56
2023-03-15 14:03:50,14,ToU,0.75,Fuzzy,Padrão A,1.08,1.17,1.26,0.049,16.4,11.7,13.44,15.46,15.76,0.8118,0.87888,0.93036,2.41,30,65,0.56
2023-03-15 14:03:51,15,ToU,0.75,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12.0,13.4,16.14,15.76,0.86198,0.9239,0.97083,2.66,30,65,0.56
2023-03-15 14:03:52,16,ToU,0.75,Fz_Taguchi,Padrão A,1.08,1.17,1.25,0.039,16.4,11.9,13.52,15.6,15.76,0.85942,0.93274,0.97311,2.68,30,65,0.56
2023-03-15 14:03:53,17,TC,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.31,14.31,14.31,0.81144,0.86509,0.91056,2.48,39,70,0.84
2023-03-15 14:03:54,18,TC,0.0,Fuzzy,Padrão A,1.22,1.25,1.26,0.0099,16.4,14.3,14.31,14.31,14.31,0.77593,0.87616,0.91776,2.13,39,70,0.84
2023-03-15 14:03:55,19,TC,0.0,Taguchi,Padrão A,1.25,1.27,1.28,0.0075,16.4,14.3,14.31,14.31,14.31,0.86045,0.95361,0.97997,2.28,39,70,0.84
2023-03-15 14:03:56,20,TC,0.0,Fz_Taguchi,Padrão A,1.23,1.27,1.28,0.01,16.4,14.3,14.31,14.31,14.31,0.81605,0.94042,0.98389,2.33,39,70,0.84
2023-03-15 14:03:57,21,ToU,0.75,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.49,15.49,15.76,0.73956,0.81803,0.88667,2.72,39,70,0.84
2023-03-15 14:03:58,22,ToU,0.75,Fuzzy,Padrão A,1.07,1.17,1.24,0.045,16.4,12.1,13.48,15.56,15.76,0.793,0.8447,0.9106,2.66,39,70,0.84
2023-03-15 14:03:59,23,ToU,0.75,Taguchi,Padrão A,1.05,1.18,1.24,0.043,16.4,12.0,13.4,16.14,15.76,0.86198,0.9239,0.97083,2.64,39,70,0.84
2023-03-15 14:04:00,24,ToU,0.75,Fz_Taguchi,Padrão A,1.11,1.17,1.24,0.039,16.4,12.0,13.47,14.82,15.76,0.86855,0.92071,0.96386,2.75,39,70,0.84
