,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
292,ToU,1.0,Fuzzy,L3,0.919,1.04,1.11,0.055,13.2,13.8,3.80%,93.83%,0.585
293,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.012,15.2,15.8,3.65%,87.16%,2.17
294,ToU,0.75,Fuzzy,L1,1.1,1.18,1.27,0.049,13.4,15.8,15.24%,94.56%,2.52
295,ToU,0.25,Fuzzy,L3,1.18,1.21,1.24,0.011,13.0,13.8,5.24%,93.94%,0.754
296,ToU,0.25,Fuzzy,L1,1.21,1.24,1.27,0.015,13.2,15.8,16.17%,94.69%,2.41
297,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.27,0.023,12.7,12.7,-0.00%,77.09%,0.831
298,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.44%,0.496
299,ToU,0.75,No_fuzzy,L2,0.982,1.08,1.14,0.042,13.3,13.8,3.78%,71.85%,0.621
300,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.005,12.7,12.7,-0.00%,95.13%,0.539
301,ToU,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.022,14.2,13.8,-3.37%,78.84%,0.733
302,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0028,14.3,14.3,0.00%,95.71%,1.71
303,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.90%,1.8
304,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.0089,14.3,14.3,0.00%,87.44%,2.31
305,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0059,14.2,13.8,-3.36%,94.82%,0.605
306,Fixa,0.0,No_fuzzy,L2,1.18,1.23,1.25,0.019,12.7,12.7,-0.00%,79.11%,0.846
307,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0023,14.3,14.3,0.00%,95.68%,1.69
308,Fixa,0.0,No_fuzzy,L2,1.17,1.22,1.26,0.022,12.7,12.7,-0.00%,77.05%,0.716
309,ToU,0.25,Fuzzy,L1,1.2,1.23,1.26,0.015,13.8,15.8,12.44%,94.40%,2.23
310,ToU,1.0,Fuzzy,L1,1.03,1.15,1.25,0.057,13.5,15.8,14.52%,94.65%,2.26
311,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.024,12.7,12.7,-0.00%,78.71%,0.833
312,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0093,14.3,14.3,0.00%,87.28%,2.36
313,ToU,0.75,No_fuzzy,L3,1.01,1.08,1.14,0.04,13.2,13.8,4.11%,72.08%,0.821
314,ToU,0.5,No_fuzzy,L3,1.04,1.11,1.17,0.04,13.4,13.8,2.43%,69.76%,0.878
315,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0064,12.7,12.7,-0.00%,95.03%,0.54
316,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0033,14.3,14.3,0.00%,95.48%,2.03
317,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.027,12.7,12.7,-0.00%,77.17%,0.855
318,ToU,0.75,Fuzzy,L2,1.03,1.11,1.15,0.041,13.0,13.8,5.32%,93.95%,0.711
319,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0032,14.3,14.3,0.00%,95.74%,1.83
320,ToU,0.75,Fuzzy,L3,1.03,1.09,1.15,0.037,13.3,13.8,3.66%,93.36%,0.694
321,ToU,0.5,Fuzzy,L3,1.09,1.15,1.19,0.031,13.2,13.8,4.16%,93.87%,0.587
322,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.026,13.3,13.8,3.40%,93.58%,0.763
323,ToU,0.75,No_fuzzy,L3,1.02,1.08,1.14,0.036,13.2,13.8,4.24%,72.82%,0.793
324,ToU,0.0,No_fuzzy,L3,1.14,1.21,1.25,0.027,14.0,13.8,-1.54%,75.15%,0.793
325,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.26,0.012,14.3,14.3,0.00%,86.26%,2.24
326,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.11%,0.613
327,ToU,1.0,Fuzzy,L1,1.02,1.13,1.25,0.054,13.7,15.8,13.15%,94.61%,2.11
328,Fixa,0.0,No_fuzzy,L2,1.15,1.21,1.26,0.028,12.7,12.7,-0.00%,74.81%,0.745
329,ToU,0.5,No_fuzzy,L1,1.14,1.18,1.23,0.025,13.7,15.8,13.17%,81.52%,2.12
330,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.011,14.3,14.3,0.00%,85.25%,2.25
331,ToU,0.5,Fuzzy,L1,1.14,1.21,1.26,0.027,13.4,15.8,15.04%,94.95%,2.41
332,ToU,1.0,Fuzzy,L2,0.898,1.03,1.11,0.065,13.4,13.8,2.71%,94.03%,0.704
333,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0034,14.3,14.3,0.00%,95.95%,1.76
334,ToU,0.75,Fuzzy,L3,1.03,1.09,1.15,0.039,13.4,13.8,2.62%,93.99%,0.639
335,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.26,0.021,12.7,12.7,-0.00%,79.65%,0.848
336,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,95.42%,0.523
337,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.005,12.7,12.7,-0.00%,95.40%,0.565
338,ToU,0.75,Fuzzy,L2,1.01,1.1,1.15,0.039,13.2,13.8,4.14%,93.40%,0.703
339,ToU,0.75,Fuzzy,L1,1.08,1.16,1.21,0.03,13.8,15.8,12.37%,94.78%,2.66
340,ToU,0.5,No_fuzzy,L1,1.13,1.19,1.25,0.028,13.5,15.8,14.25%,82.83%,2.46
341,Fixa,0.0,Fuzzy,L3,0.823,1.26,1.28,0.081,12.7,12.7,-0.00%,96.05%,0.524
342,ToU,0.5,Fuzzy,L1,1.14,1.21,1.25,0.023,13.4,15.8,15.07%,94.24%,2.49
343,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.014,13.3,13.8,3.23%,94.03%,0.624
344,ToU,0.25,No_fuzzy,L3,1.1,1.17,1.21,0.027,13.3,13.8,3.59%,76.81%,0.716
345,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.15%,0.575
346,ToU,0.25,Fuzzy,L2,1.18,1.21,1.23,0.014,13.4,13.8,2.55%,94.03%,0.611
347,ToU,0.5,No_fuzzy,L3,1.07,1.12,1.18,0.034,13.2,13.8,4.03%,71.88%,0.727
348,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0044,12.7,12.7,-0.00%,95.62%,0.568
349,Fixa,0.0,No_fuzzy,L3,1.14,1.22,1.26,0.026,12.7,12.7,-0.00%,78.13%,0.797
350,ToU,0.25,No_fuzzy,L3,1.11,1.17,1.2,0.027,13.4,13.8,2.89%,73.75%,0.816
351,ToU,1.0,No_fuzzy,L2,0.93,1.04,1.11,0.053,13.3,13.8,3.58%,71.25%,0.707
352,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0058,12.7,12.7,-0.00%,95.13%,0.515
353,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.69%,0.525
354,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.27,0.026,12.7,12.7,-0.00%,78.59%,0.819
355,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.003,14.3,14.3,0.00%,95.26%,1.83
356,ToU,0.75,Fuzzy,L1,1.06,1.17,1.25,0.045,13.6,15.8,13.53%,94.84%,2.35
357,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.21%,0.539
358,ToU,0.0,No_fuzzy,L2,1.15,1.23,1.27,0.027,14.0,13.8,-1.68%,79.28%,0.945
359,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.18%,0.542
360,ToU,0.5,Fuzzy,L1,1.14,1.21,1.26,0.025,13.4,15.8,14.95%,95.13%,2.47
361,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.27,0.023,12.7,12.7,-0.00%,78.44%,0.856
362,Fixa,0.0,No_fuzzy,L2,1.17,1.23,1.25,0.021,12.7,12.7,-0.00%,80.36%,0.826
363,ToU,1.0,No_fuzzy,L2,0.937,1.03,1.11,0.059,13.4,13.8,3.02%,70.05%,0.712
364,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.025,12.7,12.7,-0.00%,75.82%,0.881
365,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.026,13.2,13.8,3.89%,93.75%,0.605
366,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0028,14.3,14.3,0.00%,95.60%,1.99
367,ToU,0.5,Fuzzy,L3,1.09,1.15,1.19,0.025,13.4,13.8,2.61%,93.68%,0.726
368,Fixa,0.0,No_fuzzy,L2,1.19,1.23,1.27,0.021,12.7,12.7,-0.00%,79.44%,0.834
369,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0057,12.7,12.7,-0.00%,95.65%,0.517
370,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0036,14.3,14.3,0.00%,95.66%,1.75
371,ToU,0.5,No_fuzzy,L1,1.14,1.2,1.25,0.026,13.3,15.8,15.52%,82.46%,2.36
372,Fixa,0.0,No_fuzzy,L2,1.19,1.22,1.26,0.019,12.7,12.7,-0.00%,77.80%,0.977
373,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.26,0.013,14.3,14.3,0.00%,85.86%,2.35
374,ToU,1.0,Fuzzy,L2,0.96,1.06,1.11,0.047,13.0,13.8,5.93%,93.79%,0.76
375,Fixa,0.0,No_fuzzy,L3,1.15,1.22,1.25,0.023,12.7,12.7,-0.00%,77.91%,0.727
376,ToU,0.5,Fuzzy,L2,1.07,1.15,1.19,0.03,13.3,13.8,3.70%,94.05%,0.656
377,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.62%,0.57
378,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.0095,14.3,14.3,0.00%,86.67%,2.48
379,ToU,1.0,No_fuzzy,L2,0.937,1.04,1.11,0.056,13.2,13.8,3.98%,69.15%,0.641
380,Fixa,0.0,No_fuzzy,L2,1.15,1.23,1.26,0.024,12.7,12.7,-0.00%,79.05%,0.798
381,Fixa,0.0,No_fuzzy,L2,1.19,1.23,1.26,0.017,12.7,12.7,-0.00%,81.10%,0.791
382,ToU,0.0,No_fuzzy,L2,1.17,1.22,1.25,0.022,14.1,13.8,-2.16%,78.64%,0.834
383,ToU,0.25,Fuzzy,L1,1.2,1.23,1.27,0.017,13.8,15.8,12.71%,94.53%,2.19
384,ToU,0.75,Fuzzy,L3,1.0,1.1,1.15,0.035,13.2,13.8,4.41%,94.30%,0.62
385,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.011,14.3,14.3,0.00%,86.67%,2.39
386,ToU,1.0,No_fuzzy,L2,0.925,1.02,1.11,0.056,13.4,13.8,2.41%,71.67%,0.712
387,ToU,0.5,Fuzzy,L2,1.1,1.16,1.19,0.03,13.2,13.8,4.26%,93.81%,0.744
388,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.012,14.3,14.3,0.00%,85.49%,2.03
389,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.027,13.3,13.8,3.07%,94.05%,0.649
390,ToU,0.25,Fuzzy,L2,1.18,1.21,1.24,0.013,13.1,13.8,4.88%,93.99%,0.685
391,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.58%,0.45
392,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,14.3,14.3,0.00%,95.75%,1.86
393,ToU,0.75,No_fuzzy,L3,1.0,1.08,1.14,0.04,13.2,13.8,4.48%,71.78%,0.724
394,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0085,14.3,14.3,0.00%,87.01%,2.44
395,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.25,0.023,12.7,12.7,-0.00%,76.95%,0.794
396,ToU,0.5,No_fuzzy,L1,1.13,1.19,1.24,0.027,13.5,15.8,14.62%,82.19%,2.41
397,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,95.84%,2.06
398,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.012,14.3,14.3,0.00%,86.50%,2.19
399,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0061,12.7,12.7,-0.00%,94.96%,0.601
400,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.006,12.7,12.7,-0.00%,95.11%,0.524
401,ToU,1.0,No_fuzzy,L2,0.941,1.03,1.11,0.046,13.3,13.8,3.38%,69.49%,0.667
402,Fixa,0.0,No_fuzzy,L3,1.15,1.22,1.26,0.023,12.7,12.7,-0.00%,78.73%,0.949
403,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0067,12.7,12.7,-0.00%,94.79%,0.464
404,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.011,15.4,15.8,2.27%,86.25%,2.46
405,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.003,14.3,14.3,0.00%,95.78%,1.75
406,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.76%,1.94
407,ToU,1.0,Fuzzy,L2,0.941,1.05,1.11,0.053,13.1,13.8,4.97%,93.68%,0.618
408,ToU,0.25,No_fuzzy,L2,1.11,1.17,1.21,0.027,13.5,13.8,2.18%,74.78%,0.696
409,ToU,0.75,Fuzzy,L3,1.02,1.1,1.15,0.041,13.2,13.8,4.32%,93.65%,0.574
410,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,95.24%,0.539
411,Fixa,0.0,No_fuzzy,L3,1.14,1.23,1.27,0.027,12.7,12.7,-0.00%,79.04%,0.832
412,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.014,13.2,13.8,3.88%,93.90%,0.613
413,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.027,12.7,12.7,-0.00%,75.34%,0.818
414,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0032,14.3,14.3,0.00%,95.39%,1.87
415,ToU,1.0,No_fuzzy,L3,0.955,1.06,1.11,0.044,13.0,13.8,5.64%,71.67%,0.612
416,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0029,14.3,14.3,0.00%,95.66%,1.95
417,ToU,0.25,Fuzzy,L2,1.18,1.21,1.23,0.014,13.5,13.8,1.97%,93.93%,0.66
418,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,94.94%,0.499
419,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.27,0.022,12.7,12.7,-0.00%,80.01%,0.907
420,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.05%,0.587
421,ToU,1.0,Fuzzy,L1,1.03,1.14,1.25,0.063,13.5,15.8,14.45%,94.58%,1.96
422,ToU,0.25,No_fuzzy,L3,1.13,1.17,1.2,0.021,13.4,13.8,2.60%,75.61%,0.686
423,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,14.3,14.3,0.00%,86.21%,2.48
424,ToU,0.75,Fuzzy,L3,1.02,1.08,1.15,0.039,13.5,13.8,1.95%,93.37%,0.608
425,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0054,14.1,13.8,-2.23%,95.25%,0.493
426,ToU,0.25,No_fuzzy,L1,1.17,1.22,1.24,0.015,13.6,15.8,13.71%,84.37%,2.37
427,ToU,0.75,No_fuzzy,L3,0.991,1.07,1.14,0.044,13.4,13.8,2.53%,70.31%,0.692
428,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.27,0.013,14.3,14.3,0.00%,86.30%,2.34
429,ToU,0.5,Fuzzy,L2,1.12,1.17,1.19,0.021,12.8,13.8,6.85%,94.28%,0.727
430,Fixa,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.027,12.7,12.7,-0.00%,78.58%,0.805
431,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.21%,0.571
432,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0026,14.3,14.3,0.00%,95.79%,1.81
433,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0046,12.7,12.7,-0.00%,95.21%,0.538
434,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0051,12.7,12.7,-0.00%,94.94%,0.57
435,ToU,0.5,Fuzzy,L3,1.1,1.16,1.19,0.023,13.1,13.8,5.15%,94.40%,0.635
436,Fixa,0.0,No_fuzzy,L2,1.17,1.23,1.25,0.021,12.7,12.7,-0.00%,79.33%,0.828
437,ToU,0.25,Fuzzy,L1,1.21,1.24,1.26,0.014,13.6,15.8,14.02%,94.82%,2.25
438,ToU,0.5,No_fuzzy,L2,1.08,1.12,1.17,0.027,13.2,13.8,3.85%,71.69%,0.804
439,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.026,12.7,12.7,-0.00%,77.28%,0.805
440,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.026,12.7,12.7,-0.00%,78.26%,0.814
441,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.009,14.3,14.3,0.00%,87.65%,2.55
442,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0036,14.3,14.3,0.00%,95.73%,1.91
443,ToU,0.5,Fuzzy,L1,1.14,1.2,1.26,0.032,13.6,15.8,13.74%,94.27%,2.43
444,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.02%,0.525
445,Fixa,0.0,No_fuzzy,L2,1.19,1.23,1.26,0.014,12.7,12.7,-0.00%,79.90%,0.884
446,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0042,12.7,12.7,-0.00%,95.31%,0.564
447,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,94.94%,0.55
448,ToU,0.5,No_fuzzy,L3,1.06,1.13,1.17,0.032,13.2,13.8,4.31%,73.20%,0.821
449,ToU,0.5,No_fuzzy,L1,1.12,1.18,1.23,0.029,13.8,15.8,12.56%,82.35%,2.65
450,Fixa,0.0,No_fuzzy,L3,1.14,1.23,1.26,0.022,12.7,12.7,-0.00%,79.95%,0.746
451,ToU,1.0,No_fuzzy,L1,1.02,1.15,1.27,0.059,13.4,15.8,14.74%,80.48%,2.26
452,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,94.90%,0.604
453,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0051,12.7,12.7,-0.00%,95.54%,0.619
454,ToU,0.25,No_fuzzy,L2,1.11,1.18,1.21,0.023,13.3,13.8,3.42%,77.93%,0.755
455,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.09%,0.505
456,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.005,12.7,12.7,-0.00%,95.35%,0.568
457,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.27,0.026,12.7,12.7,-0.00%,76.17%,0.842
458,ToU,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.01,15.1,15.8,3.90%,87.24%,2.09
459,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.006,12.7,12.7,-0.00%,95.37%,0.57
460,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.005,12.7,12.7,-0.00%,95.52%,0.585
461,ToU,1.0,Fuzzy,L1,1.01,1.14,1.25,0.059,13.5,15.8,14.04%,94.11%,2.5
462,Fixa,0.0,No_fuzzy,L2,1.17,1.21,1.25,0.027,12.7,12.7,-0.00%,75.17%,0.812
463,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0028,14.3,14.3,0.00%,95.47%,1.7
464,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.027,12.7,12.7,-0.00%,78.52%,0.827
465,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.026,13.3,13.8,3.42%,93.91%,0.701
466,ToU,0.75,Fuzzy,L3,1.06,1.11,1.15,0.032,13.0,13.8,5.48%,94.22%,0.637
467,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.027,13.4,13.8,2.67%,93.49%,0.622
468,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.022,13.3,13.8,3.11%,93.60%,0.725
469,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0065,12.7,12.7,-0.00%,95.06%,0.517
470,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.99%,1.78
471,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.16%,0.497
472,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,15.1,15.8,3.93%,86.32%,2.38
473,ToU,0.75,No_fuzzy,L2,0.995,1.08,1.14,0.047,13.2,13.8,3.86%,72.71%,0.915
474,ToU,1.0,No_fuzzy,L3,0.889,1.03,1.11,0.055,13.3,13.8,3.37%,70.22%,0.6
475,ToU,0.0,No_fuzzy,L2,1.16,1.22,1.26,0.023,14.2,13.8,-2.90%,77.46%,0.787
476,Fixa,0.0,No_fuzzy,L1,1.22,1.24,1.26,0.012,14.3,14.3,0.00%,84.98%,2.41
477,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.02,12.7,12.7,-0.00%,78.23%,0.839
478,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.26,0.02,12.7,12.7,-0.00%,79.10%,0.919
479,ToU,1.0,No_fuzzy,L2,0.952,1.04,1.11,0.045,13.2,13.8,3.98%,69.31%,0.607
480,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0035,14.3,14.3,0.00%,95.47%,1.82
481,ToU,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0061,14.0,13.8,-1.31%,95.22%,0.51
482,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.026,12.7,12.7,-0.00%,78.09%,0.795
483,Fixa,0.0,No_fuzzy,L2,1.15,1.23,1.27,0.027,12.7,12.7,-0.00%,79.06%,0.917
484,ToU,1.0,No_fuzzy,L3,0.92,1.03,1.11,0.058,13.4,13.8,2.87%,69.45%,0.645
485,Fixa,0.0,No_fuzzy,L2,1.14,1.23,1.26,0.025,12.7,12.7,-0.00%,79.04%,0.768
486,ToU,0.5,No_fuzzy,L1,1.12,1.19,1.24,0.032,13.4,15.8,14.90%,82.55%,2.76
487,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,95.55%,0.552
488,ToU,0.5,Fuzzy,L2,1.11,1.16,1.19,0.028,13.1,13.8,5.00%,93.68%,0.523
489,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0065,12.7,12.7,-0.00%,95.19%,0.488
490,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0051,12.7,12.7,-0.00%,94.48%,0.593
491,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0065,12.7,12.7,-0.00%,94.95%,0.611
492,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.27,0.029,12.7,12.7,-0.00%,78.52%,0.872
493,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0064,12.7,12.7,-0.00%,95.10%,0.613
494,ToU,0.75,No_fuzzy,L1,1.06,1.15,1.22,0.036,13.9,15.8,11.69%,81.23%,2.55
495,Fixa,0.0,No_fuzzy,L2,1.15,1.23,1.25,0.021,12.7,12.7,-0.00%,78.78%,0.898
496,ToU,0.75,Fuzzy,L1,1.06,1.17,1.25,0.045,13.7,15.8,13.29%,94.40%,2.25
497,ToU,0.25,Fuzzy,L2,1.18,1.21,1.24,0.017,13.2,13.8,3.94%,93.73%,0.639
498,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.26,0.023,12.7,12.7,-0.00%,77.69%,0.851
499,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.012,14.3,14.3,0.00%,85.76%,2.1
500,ToU,1.0,Fuzzy,L3,0.948,1.04,1.11,0.049,13.3,13.8,3.66%,93.19%,0.724
501,ToU,0.75,No_fuzzy,L1,1.06,1.16,1.25,0.041,13.7,15.8,13.18%,83.82%,2.62
502,ToU,0.5,No_fuzzy,L2,1.05,1.12,1.17,0.03,13.4,13.8,3.05%,72.51%,0.908
503,Fixa,0.0,No_fuzzy,L2,1.18,1.23,1.26,0.022,12.7,12.7,-0.00%,79.61%,0.84
504,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,95.20%,0.503
505,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.25,0.027,12.7,12.7,-0.00%,75.37%,0.819
506,ToU,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0057,14.2,13.8,-3.24%,95.40%,0.601
507,ToU,0.0,No_fuzzy,L3,1.17,1.23,1.27,0.023,14.1,13.8,-2.70%,79.80%,0.86
508,Fixa,0.0,No_fuzzy,L2,1.18,1.23,1.26,0.018,12.7,12.7,-0.00%,80.05%,0.838
509,ToU,1.0,Fuzzy,L1,1.07,1.17,1.25,0.052,13.2,15.8,16.54%,94.40%,2.48
510,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0063,14.1,13.8,-2.10%,95.19%,0.53
511,ToU,0.25,Fuzzy,L3,1.19,1.21,1.23,0.015,13.3,13.8,3.29%,94.00%,0.615
512,Fixa,0.0,No_fuzzy,L2,1.14,1.23,1.27,0.026,12.7,12.7,-0.00%,79.44%,0.814
513,ToU,0.75,Fuzzy,L3,1.01,1.09,1.15,0.04,13.4,13.8,2.91%,93.37%,0.649
514,ToU,1.0,Fuzzy,L2,0.913,1.05,1.11,0.052,13.1,13.8,4.73%,93.50%,0.56
515,ToU,0.25,Fuzzy,L3,1.18,1.21,1.24,0.016,13.4,13.8,2.44%,94.03%,0.719
516,ToU,0.0,No_fuzzy,L3,1.18,1.22,1.27,0.022,14.3,13.8,-3.79%,77.66%,0.847
517,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0059,12.7,12.7,-0.00%,94.59%,0.551
518,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.48%,0.544
519,ToU,0.5,Fuzzy,L3,1.1,1.15,1.19,0.026,13.3,13.8,3.52%,94.41%,0.593
520,ToU,1.0,No_fuzzy,L1,0.973,1.18,1.24,0.056,13.0,15.8,17.62%,83.01%,2.32
521,Fixa,0.0,No_fuzzy,L3,1.16,1.23,1.26,0.026,12.7,12.7,-0.00%,79.06%,0.773
522,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.003,14.3,14.3,0.00%,95.73%,1.71
523,ToU,0.75,Fuzzy,L2,0.979,1.1,1.15,0.041,13.2,13.8,4.21%,94.15%,0.71
524,Fixa,0.0,No_fuzzy,L2,1.14,1.23,1.25,0.022,12.7,12.7,-0.00%,80.02%,0.867
