,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
118,ToU,0.5,Fuzzy,L2,1.09,1.15,1.19,0.027,13.3,13.8,3.22%,93.96%,0.578
119,ToU,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0034,15.3,15.8,3.18%,95.77%,1.99
120,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0059,12.7,12.7,-0.00%,94.99%,0.541
121,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0037,14.3,14.3,0.00%,95.43%,1.97
122,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,14.3,14.3,0.00%,95.45%,1.87
123,ToU,0.5,Fuzzy,L1,1.15,1.21,1.26,0.027,13.4,15.8,14.82%,94.81%,2.42
124,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0044,12.7,12.7,-0.00%,95.82%,0.526
125,ToU,0.5,Fuzzy,L1,1.15,1.21,1.25,0.028,13.4,15.8,15.11%,94.81%,2.54
126,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.34%,0.52
127,Fixa,0.0,No_fuzzy,L3,1.14,1.21,1.26,0.031,12.7,12.7,-0.00%,74.25%,0.797
128,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0065,12.7,12.7,-0.00%,94.68%,0.553
129,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,14.2,13.8,-2.92%,94.90%,0.492
130,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.01,14.3,14.3,0.00%,86.40%,2.39
131,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.021,12.7,12.7,-0.00%,80.70%,0.901
132,ToU,0.5,No_fuzzy,L3,1.03,1.11,1.18,0.036,13.5,13.8,2.26%,71.52%,0.661
133,Fixa,0.0,No_fuzzy,L2,0.753,1.21,1.25,0.086,12.7,12.7,-0.00%,79.72%,0.871
134,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.003,14.3,14.3,0.00%,95.56%,2.01
135,ToU,0.5,Fuzzy,L2,1.09,1.14,1.19,0.027,13.5,13.8,1.74%,93.14%,0.642
136,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0045,12.7,12.7,-0.00%,95.48%,0.557
137,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0051,12.7,12.7,-0.00%,95.63%,0.613
138,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0059,12.7,12.7,-0.00%,95.27%,0.511
139,ToU,0.25,No_fuzzy,L2,1.11,1.16,1.2,0.022,13.4,13.8,2.40%,73.52%,0.79
140,ToU,0.5,No_fuzzy,L1,1.14,1.19,1.24,0.027,13.5,15.8,14.07%,82.58%,2.17
141,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0031,14.3,14.3,0.00%,95.77%,1.87
142,Fixa,0.0,No_fuzzy,L3,1.18,1.22,1.25,0.02,12.7,12.7,-0.00%,78.06%,0.815
143,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.25,0.023,12.7,12.7,-0.00%,77.10%,0.699
144,ToU,1.0,Fuzzy,L3,0.939,1.05,1.11,0.047,13.1,13.8,4.56%,93.96%,0.709
145,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0033,14.3,14.3,0.00%,95.80%,1.84
146,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.27,0.024,12.7,12.7,-0.00%,80.15%,0.831
147,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0084,14.3,14.3,0.00%,87.57%,2.18
148,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0059,12.7,12.7,-0.00%,94.71%,0.564
