Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2022-07-14 15:08:01,34,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,1.11,29.5,31.1,7.3,0.43,0
2022-07-14 15:08:02,35,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0061,14.5,12.7,12.7,0.95,0.617,4.5,65.8,5.0,0.16,1
2022-07-14 15:08:03,36,Fixa,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,14.3,14.3,0.87,2.69,40.1,36.4,0.1,0.84,0
2022-07-14 15:08:04,37,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0952,6.1,26.2,5.1,0.16,1
2022-07-14 15:08:05,38,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.871,0.1,96.5,4.7,0.16,0
2022-07-14 15:08:06,39,Fixa,0.0,Fuzzy,Padrão B,1.22,1.25,1.27,0.015,14.5,12.7,12.7,0.86,0.86,27.2,19.0,1.8,0.54,1
2022-07-14 15:08:07,40,Fixa,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,4.24,4.24,0.98,0.083,14.8,72.0,9.2,0.17,1
2022-07-14 15:08:08,41,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0824,12.3,79.0,4.3,0.27,1
2022-07-14 15:08:09,42,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.842,13.0,19.3,8.9,0.17,0
2022-07-14 15:08:10,43,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0068,14.5,12.7,12.7,0.96,0.612,2.1,11.7,2.9,0.16,1
2022-07-14 15:08:11,44,Fixa,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,0.017,14.5,12.7,12.7,0.86,0.777,25.8,35.5,6.0,0.49,1
2022-07-14 15:08:12,45,Fixa,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,0.016,14.5,12.7,12.7,0.86,0.881,26.9,13.9,0.5,0.53,1
2022-07-14 15:08:13,46,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.0832,1.3,80.7,9.7,0.16,1
2022-07-14 15:08:14,47,Fixa,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,0.023,14.5,12.7,12.7,0.79,0.85,15.9,72.6,3.7,0.42,0
2022-07-14 15:08:15,48,Fixa,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0055,14.5,12.7,12.7,0.95,0.618,7.8,68.6,4.3,0.17,1
2022-07-14 15:08:16,49,Fixa,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.002,4.86,4.24,4.24,0.98,0.0887,26.5,84.4,5.5,0.25,1
2022-07-14 15:08:17,50,Fixa,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0024,16.4,14.3,14.3,0.96,1.99,0.8,98.3,5.7,0.16,1
2022-07-14 15:08:18,51,ToU,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0027,4.86,4.02,4.04,0.98,0.0994,37.9,25.0,1.5,0.84,1
2022-07-14 15:08:19,52,ToU,1.0,Fuzzy,Padrão B,0.925,1.03,1.11,0.057,14.5,13.3,13.8,0.84,0.832,31.1,1.5,9.6,0.46,1
2022-07-14 15:08:20,53,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.94,2.56,7.1,96.8,9.3,0.16,1
2022-07-14 15:08:21,54,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,0.0941,37.7,74.9,9.5,0.65,0
2022-07-14 15:08:22,55,ToU,1.0,No_fuzzy,Padrão C,0.988,1.07,1.11,0.041,4.86,3.74,4.04,0.96,0.0907,33.2,27.3,6.6,0.6,0
2022-07-14 15:08:23,56,ToU,0.5,Fuzzy,Padrão B,1.1,1.16,1.19,0.023,14.5,13.1,13.8,0.94,0.692,8.0,79.1,0.4,0.16,1
2022-07-14 15:08:24,57,ToU,0.75,Fuzzy,Padrão B,1.02,1.1,1.15,0.034,14.5,13.1,13.8,0.92,0.81,12.1,81.8,2.3,0.25,1
2022-07-14 15:08:25,58,ToU,0.25,No_fuzzy,Padrão A,1.18,1.22,1.24,0.015,16.4,13.5,15.8,0.84,2.64,24.9,19.3,5.0,0.48,0
2022-07-14 15:08:26,59,ToU,0.75,Fuzzy,Padrão B,1.03,1.09,1.14,0.033,14.5,13.1,13.8,0.79,0.835,37.1,84.1,6.9,0.64,1
2022-07-14 15:08:27,60,ToU,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,0.0047,14.5,14.3,13.8,0.96,0.603,16.4,73.9,9.9,0.16,1
2022-07-14 15:08:28,61,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.92,2.49,12.3,9.5,2.6,0.26,1
2022-07-14 15:08:29,62,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,0.0949,16.9,73.9,2.8,0.48,0
2022-07-14 15:08:30,63,ToU,1.0,No_fuzzy,Padrão C,0.988,1.07,1.11,0.041,4.86,3.74,4.04,0.96,0.0928,15.4,77.5,7.9,0.17,0
2022-07-14 15:08:31,64,ToU,0.5,Fuzzy,Padrão B,1.1,1.15,1.19,0.026,14.5,13.3,13.8,0.93,0.872,10.0,12.4,3.9,0.2,1
2022-07-14 15:08:32,65,ToU,0.25,No_fuzzy,Padrão B,1.1,1.17,1.2,0.025,14.5,13.6,13.8,0.76,0.826,4.6,88.2,5.1,0.16,0
2022-07-14 15:08:33,66,ToU,0.5,Fuzzy,Padrão A,1.13,1.19,1.24,0.028,16.4,13.6,15.8,0.86,2.56,40.2,54.1,6.7,0.65,1
2022-07-14 15:08:34,67,ToU,0.5,No_fuzzy,Padrão B,1.04,1.12,1.17,0.032,14.5,13.2,13.8,0.72,0.777,0.5,13.5,5.1,0.16,0
2022-07-14 15:08:35,68,ToU,0.25,Fuzzy,Padrão C,1.2,1.23,1.24,0.0084,4.86,3.72,4.04,0.97,0.0891,5.6,72.1,7.3,0.17,1
2022-07-14 15:08:36,69,ToU,1.0,No_fuzzy,Padrão B,0.925,1.03,1.11,0.057,14.5,13.3,13.8,0.72,0.833,14.8,82.5,4.8,0.25,0
2022-07-14 15:08:37,70,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.87,3.31,27.3,45.1,4.8,0.53,1
2022-07-14 15:08:38,71,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,0.118,7.2,26.7,2.7,0.16,0
2022-07-14 15:08:39,72,ToU,1.0,No_fuzzy,Padrão C,0.988,1.07,1.11,0.041,4.86,3.74,4.04,0.96,0.109,24.6,89.4,6.8,0.22,0
2022-07-14 15:08:40,73,ToU,0.5,Fuzzy,Padrão B,1.05,1.12,1.18,0.033,14.5,13.3,13.8,0.71,1.04,32.8,66.7,0.5,0.82,1
2022-07-14 15:08:41,74,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.1,26.8,78.5,2.5,0.64,0
2022-07-14 15:08:42,75,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.782,9.4,25.3,4.5,0.18,0
2022-07-14 15:08:43,76,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.104,23.1,34.7,2.0,0.5,0
2022-07-14 15:08:44,77,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.737,28.5,88.7,6.8,0.42,0
