Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-22,37,TC,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0022,4.86,4.24,4.24,0.98,0.0788,12.1,16.3,6.6,0.17,1
2023-02-22,38,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,902.0,27.0,38.3,5.3,0.5,0
2023-02-22,39,TC,0.0,Fuzzy,Padrão B,1.24,1.27,1.28,0.0098,14.5,12.7,12.7,0.93,674.0,27.2,24.9,9.2,0.25,1
2023-02-22,40,TC,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0029,16.4,14.3,14.3,0.96,2.17,6.0,55.3,9.5,0.16,1
2023-02-22,41,TC,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0024,16.4,14.3,14.3,0.96,1.92,5.5,7.9,2.9,0.16,1
2023-02-22,42,TC,0.0,Fuzzy,Padrão A,1.26,1.27,1.27,0.0036,16.4,14.3,14.3,0.93,2.43,28.1,26.8,7.9,0.32,1
2023-02-22,43,TC,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0032,16.4,14.3,14.3,0.96,2.15,9.3,52.6,0.4,0.17,1
2023-02-22,44,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,819.0,26.5,64.0,8.9,0.23,0
2023-02-22,45,TC,0.0,Fuzzy,Padrão B,1.2,1.25,1.27,17.0,14.5,12.7,12.7,0.86,788.0,22.9,40.4,1.3,0.51,1
2023-02-22,46,TC,0.0,Fuzzy,Padrão C,1.28,1.28,1.28,0.0018,4.86,4.24,4.24,0.98,0.1,18.3,16.2,8.9,0.16,1
2023-02-22,47,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,962.0,4.2,28.0,4.9,0.16,0
2023-02-22,48,TC,0.0,Fuzzy,Padrão B,1.26,1.27,1.28,6.0,14.5,12.7,12.7,0.96,611.0,11.6,100.0,8.8,0.16,1
2023-02-22,49,TC,0.0,No_fuzzy,Padrão B,1.16,1.22,1.26,23.0,14.5,12.7,12.7,0.79,916.0,0.1,36.6,3.2,0.16,0
2023-02-22,50,TC,0.0,Fuzzy,Padrão B,1.22,1.25,1.28,14.0,14.5,12.7,12.7,0.87,838.0,19.3,20.8,2.6,0.5,1
2023-02-22,51,ToU,0.5,No_fuzzy,Padrão A,1.14,1.19,1.24,27.0,16.4,13.5,15.8,0.82,2.64,29.8,91.0,0.6,0.65,0
2023-02-22,52,ToU,1.0,No_fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.81,2.63,25.4,4.0,9.6,0.19,0
2023-02-22,53,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,116.0,23.2,96.2,8.2,0.17,0
2023-02-22,54,ToU,1.0,No_fuzzy,Padrão C,988.0,1.07,1.11,41.0,4.86,3.74,4.04,0.96,0.0917,8.9,76.5,1.8,0.16,0
2023-02-22,55,ToU,0.5,Fuzzy,Padrão B,1.08,1.12,1.18,31.0,14.5,13.1,13.8,0.71,839.0,39.2,65.7,0.8,0.84,1
